feature,mean_abs_shap,mean_shap,std_shap
CC,1.049012755796307,0.025651680534024866,1.1844584581856645
pH,0.6297677615344184,0.057002887221382366,0.7752367286147392
LIF_W,0.47198067676925276,-0.024837541107955274,0.6223387928242532
TN,0.4658107053413224,-0.011230554977353847,0.5743670181546119
TOC,0.4406314618096587,-0.021124910068471867,0.6475867293939297
EVI,0.27895109880185104,0.04414401459670909,0.4520352829844903
UR_W,0.2587204991837919,0.003134732143767895,0.31506278390402254
NDVI,0.2509512148411901,0.001548870732417995,0.3315051384714229
FR,0.24456993013722517,0.01019228973966473,0.3439987298722769
SR,0.23966910114742127,0.025272308179852477,0.33441476358820893
LAI,0.21546261536247727,0.015194987337841042,0.30282362849551425
FCOVER,0.20794690243415018,-0.007828862613692372,0.28835002572008467
FERA,0.19634747641515243,-0.01808901238046127,0.2624255786372083
LST,0.1896161057847965,-0.007555086062895706,0.23871696917801555
TR,0.17876549766368977,0.017336472806803647,0.24180839437137258
PESA,0.15322492062813503,0.020338924676421764,0.22491269279388637
FER,0.1495364381815339,-0.0017730317101119482,0.2108113183613002
IRR_W,0.14688277684174894,0.0044998004350316236,0.21673442808265037
UI,0.1458777878563131,-0.0027950250468540654,0.20950969901761302
PR,0.14587128752517606,0.005149281374812292,0.20577217581017876
CO,0.1420893615205144,0.011765791720253688,0.20588600704108465
CA,0.13159845938831502,0.012503701511830929,0.20008330377070704
Temp,0.12151989147317548,0.0018425485388538037,0.15890495920600584
VEGA,0.11701560867089611,0.0042338125150641935,0.16631849289088732
VE,0.11670253160990304,0.007671457546106173,0.18328148418643486
GPAM,0.107661048345656,0.021738386397170132,0.14210260126306257
RU_W,0.10756947749325318,0.008031912203790317,0.16023241356176532
GAO,0.10545946764874346,0.001026931961634456,0.1306365296921046
AGR_W,0.10537984121661177,-0.005812637907077923,0.1705714092510861
GDP,0.10386566693454,-0.0011553224493914091,0.17630749689953198
Rain,0.09959530211812734,-0.008507461926181157,0.13355427762309702
PES,0.0978089798847999,0.013531927768625794,0.14482073709880477
IND_W,0.0961092969731878,0.00601902182635374,0.13486640955561516
POP_TOT,0.09472801430176737,0.00353190167929632,0.12813443370196573
BD,0.08561004079687017,-0.006005835924276964,0.12231414333737127
RI,0.08232253276707562,-0.0011959061837329213,0.1351533487707473
UR,0.08005673918671814,0.01214406099823934,0.10869913802079421
MO,0.0724012015844007,0.005784654483499861,0.09690353439313508
WS,0.07232513626587944,-0.0020712958156869684,0.09925628930060379
WA,0.06543445828366287,0.008090217415354083,0.08793846039625394
TSA,0.06325173027014351,0.0034375721901677547,0.09185837670817268
