Season,count,mean,std,min,25%,50%,75%,max
Dry,62.00,3.81,3.35,0.00,0.72,3.29,5.61,16.39
Normal,62.00,6.89,6.97,0.00,1.94,4.85,9.88,34.88
Rainy,62.00,3.70,3.75,0.00,0.87,3.04,5.06,21.40
