Season,count,mean,std,min,25%,50%,75%,max
Dry,53.00,73.60,96.09,0.00,11.40,42.80,110.00,535.00
Normal,53.00,774.10,1016.15,8.00,140.80,446.80,1024.60,5262.20
Rainy,53.00,193.49,222.75,0.00,20.40,69.80,342.80,722.60
