Season,count,mean,std,min,25%,50%,75%,max
Dry,53.00,484.27,969.99,3.00,78.80,322.20,470.60,6601.40
Normal,53.00,2132.03,2759.14,8.00,209.60,807.60,1922.00,9024.60
Rainy,53.00,596.11,576.84,4.60,90.80,380.20,935.00,2007.40
