feature,mean_abs_shap,mean_shap,std_shap
LIF_W,1.5908792171995207,0.09149511287546759,2.0583755174510805
pH,0.7882017981058869,0.00305179922787047,1.025962023131884
CC,0.7313249651883382,0.05326912960008463,0.9198469365909574
GAO,0.7247112969110775,0.03182374501354676,0.8552760616253398
TN,0.7188521345823277,0.0006374300149067411,1.1373985544936942
UR_W,0.6963455619233564,-0.023498417515599154,0.8586978405200408
LST,0.6112092552963311,-0.01690137735299754,0.7378486994609309
TR,0.58596742963858,-0.020168869108755007,0.7861515941583105
UI,0.5774946801947407,-0.025195644352824335,0.7548095957645348
SR,0.545901324527631,-0.04935026003615242,0.7995736012205339
EVI,0.5175359045476002,0.06994434036676539,0.841129551602926
FCOVER,0.4960560149820932,0.012555777890921866,0.633023663718578
NDVI,0.49432713979089954,0.006084736483188929,0.6399835587170642
IND_W,0.4639379427429661,0.0586733867869257,0.565095922032123
RU_W,0.45311035502437624,0.06334103623812296,0.5469784660035414
PR,0.4189911523218932,0.01895926033317661,0.5338648163181889
TOC,0.3734155650687247,-0.0073810942826473295,0.5303087672706857
GDP,0.3505130119357994,-0.033454890698846704,0.5450238690093282
PESA,0.3127901177890166,0.01304390289856567,0.5078695514985233
POP_TOT,0.3059478101325141,-0.06693773407285557,0.41316518607825525
VEGA,0.2971287052937093,0.0033197201672238797,0.40145161834409676
Rain,0.2866291739525762,-0.057883552386524574,0.49212250827578663
Temp,0.2815370944119014,-0.01229477252111718,0.37742931845664535
VE,0.27911852132034043,-0.005873220222915745,0.37443710109602807
IRR_W,0.2281630744038065,-0.005604161136134301,0.3394653066062108
UR,0.22368930628999895,-0.00893605469652776,0.3144548318145929
FR,0.22084849605592555,-0.026447258049617516,0.31726514549071755
CO,0.21630374763421947,-0.021465588464893347,0.31284094234586235
RI,0.21402639779408664,-0.02357264422173244,0.3188695994357209
CA,0.21381579570278939,-0.007343989000724746,0.30138177671526395
WS,0.2123629153064346,-0.028636942957516762,0.26798298408054083
BD,0.20259969078160986,0.0011802776408872063,0.3619411869993112
FERA,0.18654822083385755,-0.020625415236636503,0.26546713253991205
PES,0.1801030556180839,0.005121418310959335,0.25987443593719584
LAI,0.17900006283556938,0.019150745494679617,0.2547838283357232
FER,0.17626065340289238,-0.021235789097129934,0.2591100707668128
GPAM,0.16331925588743348,0.005809890032365828,0.22780572594615583
TSA,0.15321285393991624,-0.0016197243426672686,0.20124108565438467
AGR_W,0.1417443551986335,-0.007771193370623248,0.2097273079450357
MO,0.13357477709230633,-0.0050345640423603176,0.17544683545333575
WA,0.11424067735997687,0.005034640843278374,0.16030201194817265
