dataset,total_samples,lon_min,lon_max,lat_min,lat_max,longitude_span,latitude_span,total_area_deg2
soil,186,112.0780029,116.4449997,32.6040001,34.8721008,4.3669967999999955,2.268100699999998,9.90478849897774
water,159,112.508064,116.47361959,32.5063124,34.83152,3.965555589999994,2.325207599999999,9.220739996090465
