feature,mean_abs_shap,mean_shap,std_shap
pH,21.36507008276052,-0.15518006099416295,29.649032467044265
IRR_W,17.582873248756968,0.3596385972502707,20.74907088150447
DO,16.450928469314093,-0.9402085027863676,22.7629347089247
AGR_W,15.984851926667506,0.674244680082622,21.243268257186877
COND,13.041126825954267,-1.0075683405642102,18.609941941762866
T_W,11.633820510794024,0.16412278619704276,16.182036082434205
FR,9.766194009281724,0.7776363856632426,14.390073412339143
MO,8.370259724487179,-0.6804410723187768,12.221289252183716
CA,8.295440561218381,0.5526568025582104,11.613927973356725
CO,8.217278733945754,0.6759883466809082,12.15756002520908
FERA,7.596839025335507,-0.7128959706725667,10.648250371753946
WA,6.3794800610702005,-0.8687557712126897,9.505328237054643
VEGA,6.0323779964508075,0.8029451334328829,12.727828809257149
GPAM,5.853416239786492,0.4587962060170617,11.077642548460542
DOC,5.635818036857744,-0.8727213838826833,8.28147563487938
PES,5.575864713008435,-0.7692756843150726,8.82199005357675
Soil_THIA_agg,5.081709791058129,-0.10800526095820272,7.340817091276661
POP_TOT,4.767845326169451,0.6050348684289009,7.108929827707019
FER,4.734420436705945,0.18567585455982943,8.002899846069345
VE,4.697411097920636,-0.8380842948448655,7.994988209399727
WS,4.693945645302844,-0.6805098759268278,9.45448983027996
PESA,4.298040363468436,0.22754513757752912,10.486196436524628
RU_W,3.809925185213003,0.13616159011835602,5.407906929764611
PREC,3.7380971700790897,-0.4540074414007107,5.735835736719036
IND_W,2.916449835895529,-0.05353518590121432,4.091214112684972
SR,2.569411242434541,-0.12614695395278594,4.662511253754398
TSA,2.3665658370937344,-0.08407838210898447,4.433247488847825
TR,2.330218333901057,-0.6053867281503726,3.9128535053944042
T_M,2.228440882250843,-0.25540195980563957,2.9533728733378033
UR_W,2.1757526077846197,-0.1526186338459255,3.584410127270724
GAO,1.86155456289941,-0.14560894754638157,2.771771216588015
GDP,1.660950200968359,-0.11144859046962294,3.4077247961461903
LIF_W,1.652739535431998,0.5104631132171056,4.161048040862564
UI,1.486973920148413,-0.09246042013833143,2.5758700570794812
PR,1.269450745277724,0.042864507759181304,2.3888355502433765
RI,1.0698006828636453,-0.09428521384387469,1.7919010985981638
UR,1.0136913288673104,0.06593436605968168,1.7822733221897527
