,THIA,IMI,CLO,parentNNIs,IMI-UREA,DN-IMI,CLO-UREA,mNNIs
THIA,1.0,0.6799910125051533,0.7573373919301652,0.8707161585378157,0.3846337665229842,0.5992827394853302,0.7074948300039918,0.7087334993081776
IMI,0.6799910125051533,1.0,0.6589380717208791,0.8080311414783758,0.5303717658000793,0.7210364667711943,0.5159724418518995,0.7240049242270967
CLO,0.7573373919301652,0.6589380717208791,1.0,0.9202645748025385,0.38495115501987004,0.6077432385995559,0.7475798922721603,0.7761918270112949
parentNNIs,0.8707161585378157,0.8080311414783758,0.9202645748025385,1.0,0.47535049123447926,0.6570351414929068,0.768220230148268,0.8115584899790228
IMI-UREA,0.3846337665229842,0.5303717658000793,0.38495115501987004,0.47535049123447926,1.0,0.42910238306568943,0.2464246252763005,0.485280722812431
DN-IMI,0.5992827394853302,0.7210364667711943,0.6077432385995559,0.6570351414929068,0.42910238306568943,1.0,0.5568587703988939,0.9174929785805792
CLO-UREA,0.7074948300039918,0.5159724418518995,0.7475798922721603,0.768220230148268,0.2464246252763005,0.5568587703988939,1.0,0.7458515362417714
mNNIs,0.7087334993081776,0.7240049242270967,0.7761918270112949,0.8115584899790228,0.485280722812431,0.9174929785805792,0.7458515362417714,1.0
