,THIA,IMI,CLO,parentNNIs,IMI-UREA,DN-IMI,CLO-UREA,mNNIs
THIA,1.0,0.8368199801275499,0.7682139524131941,0.9438331777529064,0.5033688233869147,0.18938455393929177,0.669954385164763,0.5877151728372182
IMI,0.8368199801275499,1.0,0.7589185290662022,0.9603696422384107,0.6617342882311464,0.13152404706632195,0.402374453418029,0.5187731327415136
CLO,0.7682139524131941,0.7589185290662022,1.0,0.8576404445610178,0.46693444244246046,0.3263825319329209,0.6736912013822379,0.7088397401838515
parentNNIs,0.9438331777529064,0.9603696422384107,0.8576404445610178,1.0,0.6096657017223058,0.19852753303948376,0.582447342187632,0.6151838875157057
IMI-UREA,0.5033688233869147,0.6617342882311464,0.46693444244246046,0.6096657017223058,1.0,0.14878727503891642,0.2729036581375294,0.5468635453225555
DN-IMI,0.18938455393929177,0.13152404706632195,0.3263825319329209,0.19852753303948376,0.14878727503891642,1.0,0.4683165963222822,0.77702735039708
CLO-UREA,0.669954385164763,0.402374453418029,0.6736912013822379,0.582447342187632,0.2729036581375294,0.4683165963222822,1.0,0.7645879874060298
mNNIs,0.5877151728372182,0.5187731327415136,0.7088397401838515,0.6151838875157057,0.5468635453225555,0.77702735039708,0.7645879874060298,1.0
