,THIA,IMI,CLO,parentNNIs,IMI-UREA,DN-IMI,CLO-UREA,mNNIs
THIA,1.0,0.5030030223516294,0.5762062307102257,0.6962129773852057,0.2847244224626674,0.4350779503950019,0.5476529705037136,0.524623181989542
IMI,0.5030030223516294,1.0,0.48374099708231677,0.6372801255867299,0.4114728098789931,0.5403418179539865,0.3799140889442889,0.5421321835945891
CLO,0.5762062307102257,0.48374099708231677,1.0,0.7824410536927681,0.2917053274038079,0.4452233656031495,0.5828741041990251,0.600406006234118
parentNNIs,0.6962129773852057,0.6372801255867299,0.7824410536927681,1.0,0.36101741592629927,0.4854530185676834,0.5995044882179957,0.6292190440750782
IMI-UREA,0.2847244224626674,0.4114728098789931,0.2917053274038079,0.36101741592629927,1.0,0.3274981235264695,0.19719872833946578,0.37194627115457635
DN-IMI,0.4350779503950019,0.5403418179539865,0.4452233656031495,0.4854530185676834,0.3274981235264695,1.0,0.4135489239181644,0.7571139276379588
CLO-UREA,0.5476529705037136,0.3799140889442889,0.5828741041990251,0.5995044882179957,0.19719872833946578,0.4135489239181644,1.0,0.5792569483405909
mNNIs,0.524623181989542,0.5421321835945891,0.600406006234118,0.6292190440750782,0.37194627115457635,0.7571139276379588,0.5792569483405909,1.0
