pollutant,model_name,mean_r2,std_r2,mean_rmse,std_rmse,mean_mae,std_mae,n_folds,best_model
THIA,ElasticNet,0.39654074393643846,0.15364418995212603,253.71280980868724,259.4520619243997,110.66830458212937,69.55787238302896,5,False
THIA,RandomForest,0.36537211908776723,0.12303051894507591,250.82220819955768,256.33956057211446,103.7939896064059,65.0940182063963,5,False
THIA,XGBoost,0.5386567358381228,0.08866127515343088,233.94111299290176,262.86874351368556,93.97136036092584,65.01868881452201,5,True
IMI,ElasticNet,0.334398014869974,0.0796996239701858,103.00064862279392,85.45840829235546,50.73092110877171,24.02205712449129,5,False
IMI,RandomForest,0.362438150503781,0.10600501418932955,100.09254395319064,85.83183891224023,47.57036620355191,23.4054455232401,5,True
IMI,XGBoost,0.34755428252950715,0.23978267374436554,102.22181792863509,84.08444961784994,46.91926572861094,21.59177218073934,5,False
CLO,ElasticNet,0.3582825721913504,0.15151101679083107,181.1297848285178,14.18987047586664,87.47903186308424,11.800282529873671,5,False
CLO,RandomForest,0.4194705326618699,0.11120465924691797,144.89641284913557,21.781229557167435,70.85434002815055,14.575067918994797,5,False
CLO,XGBoost,0.431675424379158,0.12659995341369926,135.9429334337189,26.185098960905748,67.28309633343869,17.258230752344875,5,True
ACE,ElasticNet,0.30412885416705004,0.17697833226122658,11.942165872563775,4.08808662359429,7.800357277276154,2.0881979788237075,5,False
ACE,RandomForest,0.34464708213466666,0.07360221760441452,12.290718213031253,4.788106423274546,8.013614389894611,2.7584285120420695,5,False
ACE,XGBoost,0.3566580977116629,0.09257581474757758,12.62965012581521,4.644318753454141,8.213160155668856,2.7294397280612444,5,True
DIN,ElasticNet,0.023948681023022677,0.5089466567994716,1814.0777669762083,404.755741145488,715.7175644505184,191.0097616061526,5,False
DIN,RandomForest,0.39912099493146547,0.2144918461747385,1630.298417712769,431.25138063935583,614.446752878526,207.16669309538298,5,False
DIN,XGBoost,0.5110083579925064,0.10882539231531907,1519.845339774657,357.86632892848826,580.5504118811579,173.049345862514,5,True
parentNNIs,ElasticNet,0.07774265868542556,0.22671504360792327,1915.274744078096,549.7389135304461,901.2250293278801,276.7602175911863,5,False
parentNNIs,RandomForest,0.25335375672225235,0.18963741474867418,1778.2009464451153,529.0053717575829,810.7787258235767,252.2301405822451,5,False
parentNNIs,XGBoost,0.4360108007391693,0.16208190826926205,1635.592720067572,485.23795548759296,753.4393315138383,225.51311448851663,5,True
IMI-UREA,ElasticNet,0.34039923585309817,0.09361394923623871,17.23961657035346,4.0612693891920575,11.38561786526855,1.9915004103001648,5,False
IMI-UREA,RandomForest,0.40359910836556134,0.11090449720888781,15.5813781952142,4.508826449131174,10.280179963199465,2.2240082565212225,5,False
IMI-UREA,XGBoost,0.4258346438733204,0.13513815150621303,15.023343855924708,4.47842561089019,9.691417641325657,2.1000903771164094,5,True
DN-IMI,ElasticNet,0.3874655929297318,0.08747760420457096,547.5214626106393,88.95165400992367,210.42720063630577,43.1052243891523,5,False
DN-IMI,RandomForest,0.4121564994447642,0.11297358374473686,377.7530923968014,251.3811881046686,156.58515450346562,84.59118002245778,5,True
DN-IMI,XGBoost,0.36204231272027937,0.1612501537020665,367.317555770615,239.58984143905428,151.6173568861186,75.54359467207131,5,False
DM-ACE,ElasticNet,0.13750341925448156,0.1251755677189536,0.8993443339513154,0.32941826511160893,0.5234511039580843,0.1274490674938445,5,False
DM-ACE,RandomForest,0.35884468429597194,0.13610757851793823,0.7850630411643152,0.34035056374115213,0.447014261071753,0.1242152642435806,5,True
DM-ACE,XGBoost,0.31441501478988754,0.20757648902219392,0.7684875545659182,0.3466882599201061,0.40772209137008586,0.1263476524560513,5,False
CLO-UREA,ElasticNet,0.32319523942980927,0.04064012700621879,143.59580379277187,48.647737838324446,65.6454828556151,15.055518318350888,5,False
CLO-UREA,RandomForest,0.3998653459418854,0.01836598577258613,127.27982776285221,52.90741971298153,57.7935436519311,16.101752564646997,5,True
CLO-UREA,XGBoost,0.3306480360897745,0.06646466841636298,123.44746668933291,50.32731197206226,56.05790870079805,14.035969559977632,5,False
mNNIs,ElasticNet,0.4129319033374849,0.1389371342804505,536.6619902384052,265.04795149873894,239.96119904157226,74.98123394147707,5,False
mNNIs,RandomForest,0.46646883768742786,0.10734863431055267,543.4830926445553,272.9703454114669,239.4672452575639,83.86956602952522,5,False
mNNIs,XGBoost,0.5003420344091837,0.14256063509256925,534.8305773628098,266.3700676477472,237.08210016810017,78.26081024870948,5,True
