feature,mean_abs_shap,mean_shap,std_shap
T_W,330.9360645284139,-30.254415430476378,486.6235053227915
COND,302.74088911919796,-28.627583721192153,400.3589760862501
PREC,164.2581939457772,-25.241645619010857,222.19671248741133
RU_W,96.15456451508888,-16.520829594181638,155.0533483666131
GAO,77.68458865270561,-5.907351732592272,123.47632813198258
GDP,62.610036402904555,5.274071075358547,139.23570588703052
UI,56.48402124139277,-3.0991095428184,99.23906604198905
UR,51.67975059352623,-1.3742183924076419,100.85150299787333
POP_TOT,48.229587313374466,5.5630552756505205,78.59763858266459
IND_W,46.567387105492074,-3.339059573416647,117.98808060421437
pH,42.79256940106052,-2.65227017889971,77.0066395568479
DO,41.78861595391024,-3.855904505758044,71.09251819348184
UR_W,41.586577274807276,-4.319945790088178,70.57933813826952
RI,38.247981056153336,-2.8628299981263754,99.92774716940497
SR,34.30505791426347,0.28303948652723365,60.34726198004543
FERA,33.161731113685725,-5.48108916838911,54.19745237999794
LIF_W,29.753920746455496,1.1083541922711324,55.27101020091773
PR,28.47797753825297,3.223670214894139,50.73125114600109
DOC,27.358687813062154,-1.8769789043856335,53.07112096275538
TR,26.877232702431694,-7.161081830580353,69.75812881160071
T_M,24.942683613421174,-1.909010249663039,51.11204216780884
IRR_W,23.07901119567636,0.18915186068294876,48.63300366588621
CO,22.1095082746635,-2.2680225270884056,44.678752590159384
PESA,21.56894374829571,-4.483583910068229,41.424545159038914
VE,21.30733120246604,-2.3689666289363704,64.32053736778361
VEGA,19.86693804853513,-3.99313411544663,40.936563234459456
FER,18.786609992984737,-0.7696480898581752,42.873369893155754
CA,17.203893420387466,-1.5473263373540294,29.94712079164089
AGR_W,16.432018743054556,-0.8558694568358622,33.627522198994406
WS,16.082483661690162,-2.333916645304553,42.38445113566797
FR,15.203432319687419,-3.3825653927820087,29.4545804803152
PES,14.666183585155101,-3.1657893806115682,27.803172706659385
GPAM,11.794889187564296,0.8380952444141909,26.66994964176593
WA,8.97752438109766,-1.4484104806259759,15.390844819685885
MO,8.876518492960578,-0.5722684695376057,17.670863786319547
TSA,5.967337366249861,-0.19569679314807872,10.842261108177814
