feature,mean_abs_shap,mean_shap,std_shap
ACE,0.16065143291175615,0.027600078904343274,0.2620901823646045
T_M,0.13759008570144687,0.002345993462832846,0.21118113498102278
DOC,0.09065714388315524,0.0054584208206689515,0.15864288483653066
PREC,0.07923253924732312,0.012777921843110144,0.1133194965869268
pH,0.06798426216274919,0.006121741565651185,0.29145517316333197
T_W,0.03412829821309432,0.0007116539666499446,0.06391568382429426
FR,0.017730150986736172,0.003840540677379329,0.041247984491256044
RU_W,0.01666812734324992,0.002996023706408447,0.03319669213707219
AGR_W,0.016277364737762277,0.0015651998372916399,0.030477535606204965
COND,0.015861598087652373,0.004453742187792353,0.04504471396472441
FERA,0.012643943282558856,-8.031653660101435e-05,0.02466809293667941
CO,0.011271953376340032,-0.0010625873705512794,0.019209248055829513
VE,0.01092739232446788,0.002668618610796501,0.022946124906443103
GPAM,0.010855725550822976,-0.00019685903896989542,0.022220711316548833
UR_W,0.010586315364736979,0.0005020306614252981,0.024302623790112637
POP_TOT,0.0099302457157909,0.0035847185414569515,0.03004883885029011
VEGA,0.009828332932002111,0.0006001553484346082,0.02262646674255031
WS,0.00959503139287187,0.00123326474357498,0.020608517937447373
CA,0.009395089426314153,0.001199666654800438,0.021996700313488885
IRR_W,0.009164434131342271,-0.001040340140042141,0.0187889676779096
WA,0.008752500326919377,-0.0010258599513149806,0.019445355011298165
MO,0.008174544335665104,-0.0008960210405821196,0.015381430350336116
DO,0.008105789817199961,0.00010171548634244316,0.015571942176697055
PES,0.007099114798274928,0.00031412453751862796,0.014649924239858064
PESA,0.0069213009491637025,0.000798145296975612,0.01582958338645388
TSA,0.006150255299054195,-0.00018189766305641135,0.013613125351316577
UI,0.005931882399917271,0.0015936860686218844,0.01366173004301469
PR,0.005125221615731404,0.0006807486042067939,0.011828182973898304
TR,0.004846446970380077,-0.00010375364308696407,0.013467808901805867
IND_W,0.0044260462372421264,0.0004069258635121751,0.011545473944114322
GDP,0.0043279444922124915,-0.000991244938593569,0.007134812205728757
SR,0.004300094285679186,-0.0002433045009303384,0.008526303249697536
GAO,0.004180471079006197,-0.000522195049044157,0.009166211679540105
UR,0.003968460726877772,-0.00011627880536191567,0.007752145928040176
FER,0.003741980017440109,-0.00033666186279712816,0.006835674301082314
LIF_W,0.003435764250821928,0.00030456925157566956,0.009240519922083985
RI,0.002389575711449518,-0.0002577307306042634,0.006220299520921645
