feature,mean_abs_shap,mean_shap,std_shap
pH,0.6558339284899852,0.14974468878944486,0.8038999982067545
NDVI,0.5129011754337659,0.044159302047836434,0.7721442202556041
LIF_W,0.4362570705106584,0.03284163254580908,0.6085961780088985
Temp,0.40246709000521064,0.019142950681257126,0.5557717788985069
CC,0.39944354714123653,0.059404737825866756,0.6029105239555772
EVI,0.3471378392876929,0.03590786024906466,0.5339273383997457
FCOVER,0.26090677950527275,0.019193308066873905,0.4248479585005617
SR,0.24781103603130625,0.06003016265063106,0.6137180317763311
UI,0.24626947491855,-0.023965905714033984,0.34454829878838683
LST,0.23966093017373863,0.023600990545908283,0.3706823514658127
UR_W,0.23771178045175478,0.04163321114008162,0.48742106568680876
Rain,0.23707035310822813,0.011044711834747017,0.3791248474255729
TN,0.2316690140312273,0.006874148359934647,0.3759861975774696
LAI,0.23057749141792444,0.04192796328396577,0.3199918385298884
FR,0.2222931227024712,0.014919577720629264,0.37471475360628337
PR,0.20613217198604383,0.03613932535560221,0.3265139371745515
GAO,0.20325392620945318,0.01792255961007325,0.2787131850693006
PESA,0.18528114276894525,0.025543773233413624,0.3687174713598938
POP_TOT,0.1768971799635197,0.008192491911639626,0.38067100510357915
FERA,0.15774006584456607,-0.004907584239102848,0.25636730898178123
TR,0.15694093817853924,0.004685443501086791,0.23573340267095255
IRR_W,0.1383642145327986,-0.02045643024180794,0.20443158296022632
BD,0.12856658544975502,-0.00901468044747187,0.18944111298325667
VEGA,0.12640989196969096,-0.005736344042568235,0.18143980626063447
VE,0.12143316711227885,-0.01199773676548883,0.1597437137247301
GDP,0.1163574576760837,0.017301870561235926,0.2653038659670323
FER,0.11373805369155128,-0.0184107534235933,0.17021875214046642
CA,0.10827110488809766,0.005594390869744342,0.23077177893563372
PES,0.10628206853035847,0.003954489109853755,0.17431209249252363
AGR_W,0.10572700734846927,0.013180623955593478,0.24678764374101825
WS,0.10539993691140037,0.002972041048252684,0.17008155173108705
CO,0.10421177637781694,-0.008199892219930031,0.16148330174959025
RI,0.1032305056955156,0.020042458061672486,0.2356631797894283
TOC,0.10221190098944227,0.007542920960733594,0.1796228975449254
IND_W,0.09998739082132749,0.007454642184835253,0.1563000187560332
GPAM,0.09764295873530492,-7.395634064801463e-05,0.1984446554196588
RU_W,0.09205639792744309,0.007151548809442833,0.13452647820040353
UR,0.07630381045535978,0.01074546768761541,0.14078792256973527
MO,0.059720693299067464,-0.00036190641605726693,0.09534852862393194
WA,0.0594449324592316,0.007721028041832225,0.13911303575251338
TSA,0.05180126827541603,-0.004877264934013911,0.09296934703390046
