feature,mean_abs_shap,mean_shap,std_shap
COND,1.8428402888471451,-0.0008343086754161178,2.1844281334808096
T_M,1.1534616618851599,0.22014888822108092,1.487436131492911
IRR_W,1.026219245242892,0.10331241201410894,1.1968673105275687
AGR_W,0.9448182300142781,-0.08983842826749484,1.236274181188922
FR,0.7587050220539152,-0.017773465761317282,1.0838639485695742
FERA,0.587442455276724,-0.030374397320359976,0.7662324730526214
GPAM,0.5835698996883666,-0.0873958119084027,0.7865713932365044
RU_W,0.5713575085952497,0.07260310343239297,0.7737328445689724
T_W,0.562793375619425,0.0805903693893155,0.733350631779338
CO,0.5565652338375474,0.05781822098893825,0.7299594480549956
CA,0.5562177538708768,0.08132089652097457,0.74522261407746
MO,0.47174740616399596,0.005640174723779403,0.603268174008501
pH,0.4373972273493116,-0.005760167790278477,0.6922622593348922
DO,0.4176145980781957,-0.009268111835340799,0.679569196731046
WS,0.4071584553624103,-0.001369991259678278,0.6668629179303185
IND_W,0.36749811504590213,0.034349683353838936,0.5703982622992948
WA,0.34393938247447564,-0.020424215158289506,0.4171341090853537
DOC,0.3364637077933193,0.018073881224624652,0.4923686862327332
GAO,0.33458383333184083,-0.021218863670615144,0.42012729670156773
UR_W,0.32850777613502313,0.03803921680305636,0.5521728879661999
VEGA,0.3053365253693285,0.03294438852514043,0.4332204679075074
POP_TOT,0.2815727220456198,0.023478959319152462,0.47576818679157973
VE,0.2684076091312832,0.05542417783733173,0.4039246178834185
PREC,0.24980030293830613,0.0177713113936031,0.34895557986263726
UR,0.2458535427680611,-0.0007300797454106111,0.40565126132537566
GDP,0.23444956432771655,0.020627777318672613,0.34646207068767976
TR,0.20487024051953576,-0.02258761801754541,0.3281120828429481
FER,0.20166013313547065,-0.012794569878700104,0.2972073828632498
PES,0.1713450688655303,0.05015865493628948,0.3293366759902373
PESA,0.1707316679833176,0.0039495148029716825,0.25795948964126214
SR,0.16564550649463983,0.013844079890594581,0.23846226247066554
LIF_W,0.14404085381247214,0.010983995695935694,0.2496177413720356
TSA,0.10872327362934639,0.0056640719802621845,0.15237537760115089
PR,0.10712546709719567,-0.010659679785108218,0.20087750745703836
UI,0.09566374800901122,0.018996468673790123,0.1463216860521975
RI,0.0953833106693466,0.0014918007636874518,0.13367209554545084
