feature,mean_abs_shap,mean_shap,std_shap
IMI,0.7321854321962353,0.026805503349951798,0.9033454730183201
pH,0.24092294855805432,0.017163002754672696,0.31935884796596603
LIF_W,0.1841823213265545,-0.0005286915036835598,0.24748627534439357
TOC,0.15555248150931122,-0.00566199283746916,0.19590052412115908
TN,0.14049658429825448,-0.01161233619690974,0.19664612747732732
BD,0.12533311864374014,-0.0008609675027050345,0.16666554486209864
FCOVER,0.10503005968394712,0.001697138149890252,0.18925484709622772
UR_W,0.10251470562492164,0.002228815597881192,0.13829710115145294
UI,0.08850480936906271,0.0013865020968541338,0.13579012317044506
Temp,0.0870230523537086,0.015609054913527792,0.113245216726945
GAO,0.08607582705568961,0.0005683181965060305,0.12236344301167444
EVI,0.07079759791336206,-0.014444053276822055,0.10761771885531052
PR,0.07022891173696082,-0.01233855161834674,0.09908186548287656
SR,0.06393305076892761,-0.003888119619200283,0.088965412919421
LST,0.05913991192531654,0.0013679239898713592,0.08584979561132215
WS,0.0581989328262401,-0.0015910262729554225,0.07941238187820017
Rain,0.05449013776223879,-0.004385725675848769,0.07334251115987592
TR,0.050646978580139744,0.0020753539695669903,0.07058479953248467
RU_W,0.048365137117888396,0.0014341855536110818,0.06259627066127073
IND_W,0.04730451917694535,0.0007192595349017639,0.0603015234266847
POP_TOT,0.04331341637166073,0.0032858360798155516,0.0633780042654619
FERA,0.04244358639159913,-0.005642495489426575,0.06237707931391006
UR,0.04026001548872194,-0.0038885731456141845,0.052141013579638844
GPAM,0.03826656606600913,-0.0010326434850454257,0.05116200622342443
CC,0.037721121547656146,-0.0004927686007220949,0.05317562495802516
RI,0.036874469652693094,-0.0025179865745062675,0.047882170755414385
PESA,0.03648930126226896,-0.0007402370778894743,0.055198540281330186
GDP,0.03134125194828927,-0.006123300674907016,0.04507249928374992
LAI,0.031155942685875668,-0.0012950825489600893,0.0410880401463616
MO,0.030512518259898046,0.00018191697966180658,0.04189176369947431
IRR_W,0.02793575645780299,-0.0003745152940465868,0.03933712003342874
VEGA,0.02792398118533577,-0.00233735642970088,0.03715493808174737
VE,0.02770755279813179,-0.002791950785944245,0.03529116254529456
WA,0.026339146435676367,0.0003562078239860658,0.03578460456952421
AGR_W,0.025847243685087253,-0.00403107925478346,0.03826482344899874
PES,0.02506998045581909,-0.0031207467959317482,0.034039011897842954
FR,0.02502624778361192,1.8925429402884824e-05,0.044087665047865786
CO,0.024699596755264775,-0.002904693106255087,0.035704977923165925
FER,0.022294716298320416,-0.0024863415957410958,0.032285893973646534
TSA,0.021704884703342465,-0.002081577563674622,0.030644971006431845
CA,0.02139330821646792,-0.0019655773321306472,0.029323914083647363
NDVI,0.00794781867440249,0.0005481872909673532,0.01679792698121218
