feature,mean_abs_shap,mean_shap,std_shap
IMI,0.15999024573719073,-0.006699447168406454,0.33848708343444744
LST,0.05646977656824527,-0.0006513554423696423,0.08344622704608999
Temp,0.0471503895216173,-0.009131145663791737,0.06611133781074532
FCOVER,0.043119761553679914,0.009877666436244598,0.09767592616856037
TN,0.03662116722407079,0.0007067465047920493,0.061023401631311
pH,0.036380738502285986,-0.002028045363704165,0.06404931608590293
BD,0.032809237157219485,-0.0019101523084064326,0.054535550958915414
Rain,0.026842962040772408,-0.0064590671572084925,0.06062351776399496
LAI,0.02622065730506254,-0.004979929272038758,0.04808552759942531
TOC,0.02581184471675271,-0.0038238991640256012,0.0543686369434026
IRR_W,0.022218521410918027,0.004395947397263695,0.06579377065512138
FR,0.02128699440079466,1.3024669571852455e-05,0.04790951125951383
CO,0.020622239406485287,0.00724496747107489,0.10445803799870743
CC,0.019112462713787626,-0.0009181829828526277,0.032603400629143096
FERA,0.015005290489623013,-0.0009683175329673655,0.0370741889407033
EVI,0.014009528372760836,0.0019494732846072325,0.0300880260953895
PESA,0.01288869435299581,0.002515310926505927,0.027873970200635364
CA,0.01136340033544247,0.0031747435402318456,0.061841779688006714
FER,0.010828426510768934,0.0004040489217609665,0.041733116887527545
MO,0.010818461735161987,-0.00010123332155065521,0.03227585789010539
SR,0.010655641619541795,0.0007866999774549541,0.017506402042764456
UR_W,0.010576802239141774,-0.00010107394984613535,0.017676292802954074
VE,0.009838727124904915,0.0018524827723444485,0.022778199631386054
VEGA,0.009678522624449768,0.0004971344537162396,0.019216281167727285
IND_W,0.008692225530777403,-0.0004640712578727292,0.015326014781131402
WS,0.008614992418863331,0.002173643586517589,0.03282089028876029
UI,0.008208050452649903,5.133865984224279e-06,0.015205638318500575
RU_W,0.008199455629692431,-0.0005413698615982035,0.013184609868635977
PES,0.00809086043363504,0.001418072437027541,0.015921676657970407
GPAM,0.007513248392448018,-0.0010665011421621387,0.014732429366310426
GAO,0.007295786614470151,-0.00022706391801762172,0.01965036357849841
AGR_W,0.007270511672332496,0.0007677116308255112,0.013551390163801321
LIF_W,0.007026810094337806,-0.00013531745696105844,0.014332481701160513
PR,0.006329779413963128,5.516875196403336e-05,0.010676570646097987
TR,0.006195721286140379,0.00016242141405934047,0.016027453233401084
GDP,0.005956192951992529,0.0015230688292265813,0.024406426920764328
WA,0.005550801410753839,-0.00019941542939172906,0.013681751937327381
POP_TOT,0.005349016461536957,-0.0005116661837584566,0.012175872979706522
TSA,0.0045134329225746915,0.00040155176404826556,0.012962058280599131
RI,0.0038327883892616825,0.00030355002016894847,0.008794962223654793
UR,0.00323317973884365,0.0006196709877986966,0.007870483331440819
NDVI,0.0023954559510856338,-0.0009087148373866757,0.008915876134734302
