feature,mean_abs_shap,mean_shap,std_shap
COND,8.842422159396316,-1.2523615784169935,10.454917217540087
DO,7.952755282162682,0.5494426696949231,10.953102276082054
IRR_W,7.818069499834667,0.5037795393947476,9.224979242498186
T_W,6.507067225257163,0.4670899671583783,7.908977931576578
AGR_W,6.353041654607347,0.04328886023594701,8.18278603616102
FR,5.196643754666226,-0.80281653835114,7.821106094240237
FERA,4.510236007589867,0.6306402455388413,7.611519476622743
CO,4.294838577437553,0.07076200824585298,5.765545130456274
GPAM,4.049116536567284,-0.0842217302074131,5.530992089713426
PREC,3.795105586515124,0.14774436266969848,4.659208124539051
CA,3.7066537657955583,-0.11323483078991442,4.933320599403225
Soil_IMI_agg,3.610257637548973,-0.4008494792740441,5.612266892756274
WS,3.521738641091703,0.29517139451830116,6.402153197053388
T_M,3.4603958411200413,0.3214684148192936,5.797780199029763
DOC,3.3609275213842693,-0.13682308418058323,5.112205920770359
MO,2.7403156104037327,0.24282383110465017,3.9639798890432667
VE,2.70346098929874,-0.12203710316410926,3.938623077451568
pH,2.232324230635931,-0.08932789915900269,3.169253932991546
WA,1.9628902828547632,-0.09543867186072114,2.6723579670130184
VEGA,1.7819105018132249,0.18544371213454494,2.5678719854439773
RU_W,1.1643262904549931,0.11202601478958357,1.466483987180926
PES,1.1152677522514083,0.04496753466154484,1.7793320072333765
FER,1.0679964055349678,0.1444982866578066,1.7638269547700518
PESA,1.0560301507770071,-0.007586222369129991,1.6494909310469439
GAO,0.9510099684046311,-0.02742616067903079,1.329483435668284
IND_W,0.8382507385853758,-0.04177127832345726,1.6000455019912443
GDP,0.6861014660187965,0.01807451208241176,0.8586620062205979
POP_TOT,0.6353700170023041,0.07704325700516496,1.0952420771144855
UR_W,0.6036757230218225,-0.07290274763874235,0.8407034732802494
UR,0.5622245578572106,0.06228439890916221,0.8735379582114269
TSA,0.529158578965407,-0.005551409436823151,0.8581443755641157
TR,0.4579652480603596,-0.10694644895655567,0.7130072788866826
LIF_W,0.4287560750516053,0.043307365384255385,0.6213014808257333
PR,0.38021151018368,0.06792529601390926,0.6955324615625502
RI,0.3523813003376107,0.04842138588306457,0.5125241552665468
UI,0.283642786166531,0.009553079197741654,0.5137709770991401
SR,0.2636521281941601,-0.04288967269689499,0.42287181173756005
