feature,mean_abs_shap,mean_shap,std_shap
CLO,0.17756659629788357,0.01311820289368149,0.25234359113658944
THIA,0.08008660269903067,0.005430352831317895,0.12962828238699733
LST,0.06614472889965035,0.002974508264375088,0.08581876225476043
EVI,0.03791911889312809,0.003392200540211075,0.04729608062981357
Rain,0.021936610554560573,-0.002138086497762692,0.03584615451995599
Temp,0.01764942982615132,0.00031299301548591866,0.02881375573771669
UI,0.01672251773153411,-0.0005093795591148528,0.02902107192857216
WS,0.016416822671766015,0.002821419375082692,0.027376221957476164
PR,0.016099400804426282,-0.0010454357320183673,0.028112104274459322
pH,0.013008795817045594,-0.0002760937163303976,0.023777680360053045
CC,0.01286509324858007,-0.0011656961803859982,0.02933682287605126
FCOVER,0.012160350142312185,-0.0010485499665567966,0.0233118513534094
TN,0.01166789241892039,-0.000877465364168665,0.022835215899792358
POP_TOT,0.011202744736197222,-0.002418382635741289,0.019625131348720338
SR,0.009440507910889701,-0.0024964706534519802,0.015088827439142605
BD,0.009369778391716111,-0.0004718067076761935,0.019112326421130678
LIF_W,0.009312419244136111,-0.0003654123952318725,0.014763803289949322
IRR_W,0.009202059009428493,0.0010888048213705049,0.0209143536731568
FERA,0.00875586360744207,0.0008209787901151066,0.015219846406734634
UR_W,0.008623938907878548,0.0015134108606782257,0.020250348627043266
GAO,0.00839838949530116,-0.001376247588694358,0.013687860376484935
VE,0.007629649998668659,0.0020251848421172823,0.012861797812780153
VEGA,0.0070965361942590946,0.001851651410399485,0.011628252618999725
GPAM,0.005977619300744126,6.84156283399507e-05,0.01146634182903405
RI,0.005200980917069314,0.0004851454636639104,0.012982914047657225
CA,0.005000206939623533,0.0008045734650269534,0.01151295437216107
LAI,0.004928533279904984,0.0006297867216231811,0.009036898998464327
TR,0.004871256254981738,0.0006052724101849188,0.009944139975813313
PESA,0.0048672404973773955,-0.000695874787094096,0.008852142326634137
CO,0.0046696874287057,0.0003859691365292773,0.010603058193198057
NDVI,0.004564499896074464,0.00044882537815025213,0.009612996766514855
FER,0.004329189656772377,0.0013184651367338786,0.007194533749085758
PES,0.004127146090276321,-0.0002901533152714069,0.00763068537758318
AGR_W,0.004106886695911765,0.00021766806029813589,0.007815225420131865
GDP,0.003717838258118562,-0.00013811209725787997,0.009402604006495058
FR,0.0035494627513805686,-0.0007557514633552124,0.007702546039095014
UR,0.003195319471399175,-0.00013583779064418807,0.008237245796436272
MO,0.002685182815612613,-0.00012981173424870087,0.004445020331531626
IND_W,0.002472830314304046,-0.00040076363436540965,0.0071657084846211425
WA,0.002417087211144989,-0.0003890993502400983,0.004184763117747353
TOC,0.002282258012234384,-0.0001604231208455207,0.007385432913902515
TSA,0.0022039715513028067,0.00024399653195136893,0.004245835437523901
RU_W,0.0020790381177484387,-0.0003798361121597367,0.0034542838285783863
